Country,Word,Misspelling,Frequency,Score
DEMOCRATIC REPUBLIC OF THE CONGO,centre,cente,1,91
DEMOCRATIC REPUBLIC OF THE CONGO,centre,centre2,3,92
DEMOCRATIC REPUBLIC OF THE CONGO,centre,centrer,2,92
DEMOCRATIC REPUBLIC OF THE CONGO,centre,centres,1,92
DEMOCRATIC REPUBLIC OF THE CONGO,centre,centtre,1,92
DEMOCRATIC REPUBLIC OF THE CONGO,centre,cntre,2,91
DEMOCRATIC REPUBLIC OF THE CONGO,clinic,cinic,1,91
DEMOCRATIC REPUBLIC OF THE CONGO,clinic,clinc,1,91
DEMOCRATIC REPUBLIC OF THE CONGO,clinic,clinics,2,92
DEMOCRATIC REPUBLIC OF THE CONGO,communautaire,communautaires,4,96
DEMOCRATIC REPUBLIC OF THE CONGO,communautaire,comunautaire,2,96
DEMOCRATIC REPUBLIC OF THE CONGO,dispensary,dispensair,1,90
DEMOCRATIC REPUBLIC OF THE CONGO,dispensary,dispensarys,1,95
DEMOCRATIC REPUBLIC OF THE CONGO,general,generale,2,93
DEMOCRATIC REPUBLIC OF THE CONGO,hospital,hospitalier,1,
DEMOCRATIC REPUBLIC OF THE CONGO,hospital,hopital,137,93
DEMOCRATIC REPUBLIC OF THE CONGO,medical,mdical,1,92
DEMOCRATIC REPUBLIC OF THE CONGO,medical,mdicale,1,86
DEMOCRATIC REPUBLIC OF THE CONGO,medical,mecical,1,86
DEMOCRATIC REPUBLIC OF THE CONGO,medical,meddical,1,93
DEMOCRATIC REPUBLIC OF THE CONGO,medical,mediacal,1,93
DEMOCRATIC REPUBLIC OF THE CONGO,medical,medica,2,92
DEMOCRATIC REPUBLIC OF THE CONGO,medical,medicalc,1,93
DEMOCRATIC REPUBLIC OF THE CONGO,medical,medicalde,1,88
DEMOCRATIC REPUBLIC OF THE CONGO,medical,medicale,66,93
DEMOCRATIC REPUBLIC OF THE CONGO,medical,medicales,1,88
DEMOCRATIC REPUBLIC OF THE CONGO,medical,medicall,1,93
DEMOCRATIC REPUBLIC OF THE CONGO,medical,medicalp,1,93
DEMOCRATIC REPUBLIC OF THE CONGO,medical,msdical,1,86
DEMOCRATIC REPUBLIC OF THE CONGO,polyclinic,p0lyclinic,1,90
